,Success or Failure,Cost,K,k0,list of CSVs
0,False,36272.725981539304,"[-0.00234678  0.00278815  0.01023097 -0.00042076 -0.01570813 -0.03093142
  0.01518033  0.01764585  0.00607844  0.00637767 -0.03004684  0.00325149]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],"[1, 2, 3, 6, 7, 8, 11, 12, 9, 10, 13, 14]"
1,True,1.3377760821492432e-07,"[ 0.09250346 -0.04300547  0.03935363 -0.0590266  -0.15998718  0.00942686
 -0.32993     0.17679938  0.00710319  0.05054465 -0.02727829  0.02850138]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],"[1, 2, 3, 6, 7, 8, 11, 12, 9, 10, 13, 14]"
2,False,36272.725981539304,"[-0.00234678  0.00278815  0.01023097 -0.00042076 -0.01570813 -0.03093142
  0.01518033  0.01764585  0.00607844  0.00637767 -0.03004684  0.00325149]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],"[1, 2, 3, 6, 7, 8, 11, 12, 9, 10, 13, 14]"
3,True,1.3377760821492432e-07,"[ 0.09250346 -0.04300547  0.03935363 -0.0590266  -0.15998718  0.00942686
 -0.32993     0.17679938  0.00710319  0.05054465 -0.02727829  0.02850138]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],"[1, 2, 3, 6, 7, 8, 11, 12, 9, 10, 13, 14]"
4,False,36272.725981539304,"[-0.00234678  0.00278815  0.01023097 -0.00042076 -0.01570813 -0.03093142
  0.01518033  0.01764585  0.00607844  0.00637767 -0.03004684  0.00325149]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],"[1, 2, 3, 6, 7, 8, 11, 12, 9, 10, 13, 14]"
5,False,48170.947545781004,"[-0.00215189  0.000724    0.01706572  0.00034958 -0.01052665 -0.0034435
 -0.01417273  0.01225616  0.00046684  0.000356   -0.0010787  -0.00018834]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],"[1, 2, 3, 6, 7, 8, 11, 12, 9, 10, 13, 14]"
6,False,36272.725981539304,"[-0.00234678  0.00278815  0.01023097 -0.00042076 -0.01570813 -0.03093142
  0.01518033  0.01764585  0.00607844  0.00637767 -0.03004684  0.00325149]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],"[1, 2, 3, 6, 7, 8, 11, 12, 9, 10, 13, 14]"
7,False,8887111.585502917,"[-0.20748104 -0.24400979  1.7393795   0.13284425 -0.56304532 -0.90122296
  4.06814597  0.0281202  -0.37545591 -0.16198079  1.75900618 -0.13771103]",[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]],"[1, 2, 3, 6, 7, 8, 11, 12, 9, 10, 13, 14]"
8,False,38766.83326540504,"[-0.00453807 -0.00040613  0.02510871 -0.02389938  0.02010296 -0.02389561
 -0.03259197  0.03051119  0.00984167 -0.01602642  0.00056343 -0.0001303
  0.00191033  0.01612145 -0.0096141 ]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],"[1, 2, 3, 6, 7, 8, 11, 12, 9, 10, 13, 14]"
9,False,44325.28778968208,"[-7.02005403e-03 -1.43090582e-02  6.63664794e-02 -1.17528210e+00
 -4.59947181e-01 -4.68603435e-02  2.08011390e-02  8.81896970e-03
 -5.78198801e+00 -3.75800247e+00  9.50223781e-03  4.53299917e-03
 -3.41203596e-02  8.26923634e+00  1.47856429e+00]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],"[1, 2, 3, 6, 7, 8, 11, 12, 9, 10, 13, 14]"
10,True,19138.30608682129,"[-4.04191729e-03  2.09445353e-03  2.03754168e-02 -7.39646271e-02
  3.27245189e-02 -1.27653634e-02  1.03713506e-01 -2.23269131e-01
  1.15995854e-01  4.76699646e-02  4.43226296e-04  1.16187991e-03
 -1.55036879e-04  7.16258114e-02 -5.66744275e-02]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],"[1, 2, 3, 6, 7, 8, 11, 12, 9, 10, 13, 14]"
11,False,14487.474515329912,"[-0.00576515  0.00557789  0.02258782  0.28527689 -0.07165192 -0.02223687
  0.12543011 -0.22055176 -0.15099749  0.10709489  0.00363505  0.02119831
 -0.03117271 -0.01248125  0.01384619]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],"[1, 2, 3, 6, 7, 8, 11, 12, 9, 10, 13, 14]"
12,True,19138.30608682129,"[-4.04191729e-03  2.09445353e-03  2.03754168e-02 -7.39646271e-02
  3.27245189e-02 -1.27653634e-02  1.03713506e-01 -2.23269131e-01
  1.15995854e-01  4.76699646e-02  4.43226296e-04  1.16187991e-03
 -1.55036879e-04  7.16258114e-02 -5.66744275e-02]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],"[1, 2, 3, 6, 7, 8, 11, 12, 9, 10, 13, 14]"
