,Success or Failure,Cost,K,k0,list of CSVs
0,True,26940.21985753938,"[ 1.95485568e-02  5.92658207e-04 -1.54502803e-02  9.32631055e-02
 -1.42828292e+00 -2.22165688e-01 -2.12277510e+01  2.68189568e+00
  2.73348985e-05 -4.68353672e-06  7.24741008e-07  6.26488459e-05]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
1,True,120720.40027597922,"[ 5.97217076e-03  4.89343170e-03  7.68520131e-03  1.43214043e-03
 -5.49073277e+00  6.57840201e-02  6.42908920e-01 -1.44188208e+00
 -1.55046129e-03  2.95318360e-04  2.19450908e-04 -3.87770235e-03]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
2,True,14463.57034385072,"[ 2.45586626e-02  7.78484666e-04 -3.06348568e-02  8.44270584e-02
  3.05594106e+00 -8.76789394e-02 -3.69437464e+01 -4.27203380e+00
  2.27633116e-06 -3.76120705e-07  1.66186811e-06  5.71210895e-06]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
3,True,29425.629779199127,"[ 2.16863360e-02  5.06939100e-03 -1.30522917e-01  1.51537143e-02
 -2.40686147e+00 -1.48256178e-01 -1.91863166e+01  2.26154760e+00
 -1.66645821e-05  6.21215712e-06  2.05036254e-07 -1.72613844e-05]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
4,True,14463.57034385072,"[ 2.45586626e-02  7.78484666e-04 -3.06348568e-02  8.44270584e-02
  3.05594106e+00 -8.76789394e-02 -3.69437464e+01 -4.27203380e+00
  2.27633116e-06 -3.76120705e-07  1.66186811e-06  5.71210895e-06]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
5,True,14919.528928508505,"[ 2.34813400e-02  1.61709066e-03 -4.30749731e-02  6.80468786e-02
  3.13803802e+00 -1.51954721e-01 -3.59874748e+01 -3.01655213e+00
 -2.72259634e-07 -1.32682170e-07  4.07912334e-06  2.59563656e-06]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
6,True,15240.027228900844,"[ 2.27213126e-02  2.20527038e-03 -5.18336652e-02  5.65836184e-02
  3.19573930e+00 -1.97134199e-01 -3.53152945e+01 -2.13406469e+00
 -2.65959847e-05  2.40093315e-06  1.35704699e-05 -9.28231439e-06]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
7,True,100950.51572838558,"[ 2.87461571e-03  1.15233382e-02 -2.05176529e-02  3.36377717e-02
  1.32831091e+01 -1.80225810e+00 -4.90008909e+00 -4.30773461e-01
  2.26799518e-02 -8.79926884e-04  5.74791147e-03 -1.98925052e-02]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[12]
8,True,15240.027228900844,"[ 2.27213126e-02  2.20527038e-03 -5.18336652e-02  5.65836184e-02
  3.19573930e+00 -1.97134199e-01 -3.53152945e+01 -2.13406469e+00
 -2.65959847e-05  2.40093315e-06  1.35704699e-05 -9.28231439e-06]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
9,True,15240.027228900844,"[ 2.27213126e-02  2.20527038e-03 -5.18336652e-02  5.65836184e-02
  3.19573930e+00 -1.97134199e-01 -3.53152945e+01 -2.13406469e+00
 -2.65959847e-05  2.40093315e-06  1.35704699e-05 -9.28231439e-06]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
10,True,122209.5518447476,"[ 5.92643776e-03  4.89782927e-03  7.69624816e-03  1.20928851e-03
 -5.40473825e+00  5.40389699e-02  6.10787570e-01 -9.89446872e-01
 -1.51705154e-03  2.88985450e-04  1.94592591e-04 -3.64523254e-03]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
11,True,251788.27326030924,"[ 7.03463085e-02  7.62868363e-03  2.50883928e-02 -1.81655091e-04
  1.86090551e+01 -2.16800142e+00  8.06719305e+00  1.07932178e+00
  9.60338672e-03  5.39992530e-04  9.21590978e-03 -1.09869944e-02]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[12]
12,True,14463.57034385072,"[ 2.45586626e-02  7.78484666e-04 -3.06348568e-02  8.44270584e-02
  3.05594106e+00 -8.76789394e-02 -3.69437464e+01 -4.27203380e+00
  2.27633116e-06 -3.76120705e-07  1.66186811e-06  5.71210895e-06]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
13,True,14463.57034385072,"[ 2.45586626e-02  7.78484666e-04 -3.06348568e-02  8.44270584e-02
  3.05594106e+00 -8.76789394e-02 -3.69437464e+01 -4.27203380e+00
  2.27633116e-06 -3.76120705e-07  1.66186811e-06  5.71210895e-06]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
