positions,gain colours,directions,wheelSpeed,brakes,steering,throttle
"[0.00010090388605021872, -9.99600967601873, 0.027182490564882755]",K1,"[0.00013197452062740922, 0.9999942183494568, -0.003399940673261881]",0.1620019532827482,0.0,4.22047005034973,0.28565705244610745
"[0.00048308278837794205, -9.978237753966823, 0.04332768125459552]",K1,"[0.00035427993861958385, 0.9999943971633911, 0.003324908670037985]",0.28967228931109246,0.0,4.208631030580569,0.2845759325998565
"[0.0005396008186835388, -9.959415536373854, 0.06440520752221346]",K1,"[0.000257146981311962, 0.9999793171882629, 0.006431729067116976]",0.27588530886688506,0.0,4.217446996815629,0.2836391861942125
"[0.00018655935855349526, -9.941207365365699, 0.08650540839880705]",K1,"[0.00015599277685396373, 0.9999692440032959, 0.007842261344194412]",0.28490865677901833,0.0,4.221455558567086,0.28360917390936596
"[0.00043867389467777684, -9.922790554817766, 0.10704628843814135]",K1,"[0.00024492363445460796, 0.999961793422699, 0.008738377131521702]",0.28870783853009907,0.0,4.217888741161093,0.28346609479205215
"[0.0004242289378453279, -9.90232322178781, 0.12610797281377017]",K1,"[0.0003223154926672578, 0.9999500513076782, 0.009993614628911018]",0.32775113993309724,0.0,4.230253784321749,0.283390783889311
"[0.0003425448735470127, -9.879965332336724, 0.14488176978193223]",K1,"[0.00029825413366779685, 0.9999318718910217, 0.01166849210858345]",0.3242828152948698,0.0,4.233425704465183,0.28310487245278115
"[0.00023478766161133535, -9.860284813679755, 0.15803534933365881]",K1,"[0.00021227207616902888, 0.9999234080314636, 0.012373814359307289]",0.3577484216116501,0.0,4.238147212011204,0.2830536838519761
"[3.644512435130309e-05, -9.837977738585323, 0.16949296230450273]",K1,"[0.00015279100625775754, 0.9999216198921204, 0.012522961013019085]",0.3979193661137947,0.0,4.236543171670384,0.2827012610606053
"[0.0001689614091446856, -9.804008201695979, 0.18330290913581848]",K1,"[6.236454646568745e-05, 0.9999315142631531, 0.011705110780894756]",0.4892764004205773,0.0,4.234082685365758,0.28233074404467573
"[8.566161341150291e-05, -9.756596008315682, 0.19767459318973124]",K1,"[-9.540295650367625e-06, 0.9999439716339111, 0.010582219809293747]",0.703285613439762,0.0,4.220841941302833,0.28161878804294094
"[-0.00017893561744131148, -9.70425852946937, 0.21095529501326382]",K1,"[-2.5393743271706626e-05, 0.9999328255653381, 0.011591938324272633]",0.9449718685804503,0.0,4.20099355245059,0.27997044323823794
